landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
4,Crops,4.801037077,29.13797263,,0.000118893,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.4, 28.4], [77.4075, 28.4], [77.4075, 28.40625], [77.4, 28.40625], [77.4, 28.4]]]}"
4,Crops,1.701258427,31.05794661,,6.00E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.40625], [76.80749999999999, 28.40625], [76.80749999999999, 28.4125], [76.8, 28.4125], [76.8, 28.40625]]]}"
4,Crops,1.854062524,30.97515203,,6.14E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.80749999999999, 28.40625], [76.81499999999998, 28.40625], [76.81499999999998, 28.4125], [76.80749999999999, 28.4125], [76.80749999999999, 28.40625]]]}"
4,Crops,2.543844878,30.8505,,6.14E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.815, 28.40625], [76.82249999999999, 28.40625], [76.82249999999999, 28.4125], [76.815, 28.4125], [76.815, 28.40625]]]}"
6,Built area,4.141725915,30.83793243,2.135316322,6.28E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.82249999999999, 28.40625], [76.82999999999998, 28.40625], [76.82999999999998, 28.4125], [76.82249999999999, 28.4125], [76.82249999999999, 28.40625]]]}"
4,Crops,3.874060888,30.87751566,,6.44E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.40625], [76.83749999999999, 28.40625], [76.83749999999999, 28.4125], [76.83, 28.4125], [76.83, 28.40625]]]}"
4,Crops,3.340286524,30.85874819,,6.56E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83749999999999, 28.40625], [76.84499999999998, 28.40625], [76.84499999999998, 28.4125], [76.83749999999999, 28.4125], [76.83749999999999, 28.40625]]]}"
4,Crops,3.860996593,30.794,,6.64E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.845, 28.40625], [76.85249999999999, 28.40625], [76.85249999999999, 28.4125], [76.845, 28.4125], [76.845, 28.40625]]]}"
4,Crops,4.939172379,30.79482164,,6.73E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.85249999999999, 28.40625], [76.85999999999999, 28.40625], [76.85999999999999, 28.4125], [76.85249999999999, 28.4125], [76.85249999999999, 28.40625]]]}"
4,Crops,6.142086073,30.85439024,,6.96E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.40625], [76.86749999999999, 28.40625], [76.86749999999999, 28.4125], [76.86, 28.4125], [76.86, 28.40625]]]}"
4,Crops,5.858536433,30.46353988,,7.15E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86749999999999, 28.40625], [76.87499999999999, 28.40625], [76.87499999999999, 28.4125], [76.86749999999999, 28.4125], [76.86749999999999, 28.40625]]]}"
4,Crops,5.34123321,30.42481666,,7.26E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.875, 28.40625], [76.8825, 28.40625], [76.8825, 28.4125], [76.875, 28.4125], [76.875, 28.40625]]]}"
6,Built area,8.117537958,30.5243474,1.821731286,7.41E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8825, 28.40625], [76.88999999999999, 28.40625], [76.88999999999999, 28.4125], [76.8825, 28.4125], [76.8825, 28.40625]]]}"
6,Built area,11.43842625,30.60877551,1.9061594,7.60E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.40625], [76.8975, 28.40625], [76.8975, 28.4125], [76.89, 28.4125], [76.89, 28.40625]]]}"
6,Built area,14.57428075,30.57138049,1.868764385,7.77E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8975, 28.40625], [76.90499999999999, 28.40625], [76.90499999999999, 28.4125], [76.8975, 28.4125], [76.8975, 28.40625]]]}"
6,Built area,21.14411464,30.95473684,2.252120732,7.77E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.905, 28.40625], [76.9125, 28.40625], [76.9125, 28.4125], [76.905, 28.4125], [76.905, 28.40625]]]}"
6,Built area,24.54073526,30.84155747,2.138941355,8.04E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9125, 28.40625], [76.91999999999999, 28.40625], [76.91999999999999, 28.4125], [76.9125, 28.4125], [76.9125, 28.40625]]]}"
