landcover_class,geometry,landcover_name
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34, 28.474999999999998], [77.37, 28.474999999999998], [77.37, 28.499999999999996], [77.34, 28.499999999999996], [77.34, 28.474999999999998]]]}",Trees
5.99999999999992,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37, 28.474999999999998], [77.4, 28.474999999999998], [77.4, 28.499999999999996], [77.37, 28.499999999999996], [77.37, 28.474999999999998]]]}",
5.9999999999999565,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.4, 28.474999999999998], [77.43, 28.474999999999998], [77.43, 28.499999999999996], [77.4, 28.499999999999996], [77.4, 28.474999999999998]]]}",
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.5], [76.83, 28.5], [76.83, 28.525], [76.8, 28.525], [76.8, 28.5]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.5], [76.86, 28.5], [76.86, 28.525], [76.83, 28.525], [76.83, 28.5]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.5], [76.89, 28.5], [76.89, 28.525], [76.86, 28.525], [76.86, 28.5]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.5], [76.92, 28.5], [76.92, 28.525], [76.89, 28.525], [76.89, 28.5]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.5], [76.95, 28.5], [76.95, 28.525], [76.92, 28.525], [76.92, 28.5]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.5], [76.98, 28.5], [76.98, 28.525], [76.95, 28.525], [76.95, 28.5]]]}",Crops
6.000000000000004,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.5], [77.01, 28.5], [77.01, 28.525], [76.98, 28.525], [76.98, 28.5]]]}",
6.000000000000012,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.5], [77.04, 28.5], [77.04, 28.525], [77.01, 28.525], [77.01, 28.5]]]}",
5.99999999999996,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.5], [77.07000000000001, 28.5], [77.07000000000001, 28.525], [77.04, 28.525], [77.04, 28.5]]]}",
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.5], [77.10000000000001, 28.5], [77.10000000000001, 28.525], [77.07000000000001, 28.525], [77.07000000000001, 28.5]]]}",Built area
5.999999999999985,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.5], [77.13, 28.5], [77.13, 28.525], [77.1, 28.525], [77.1, 28.5]]]}",
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.5], [77.16, 28.5], [77.16, 28.525], [77.13, 28.525], [77.13, 28.5]]]}",Built area
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.5], [77.19, 28.5], [77.19, 28.525], [77.16, 28.525], [77.16, 28.5]]]}",Built area
6.000000000000025,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.5], [77.22, 28.5], [77.22, 28.525], [77.19, 28.525], [77.19, 28.5]]]}",
5.99999999999999,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.5], [77.25, 28.5], [77.25, 28.525], [77.22, 28.525], [77.22, 28.5]]]}",
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.5], [77.28, 28.5], [77.28, 28.525], [77.25, 28.525], [77.25, 28.5]]]}",Built area
5.999999999999985,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.5], [77.31, 28.5], [77.31, 28.525], [77.28, 28.525], [77.28, 28.5]]]}",
5.999999999999983,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.5], [77.34, 28.5], [77.34, 28.525], [77.31, 28.525], [77.31, 28.5]]]}",
6.000000000000007,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34, 28.5], [77.37, 28.5], [77.37, 28.525], [77.34, 28.525], [77.34, 28.5]]]}",
6.0000000000000036,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37, 28.5], [77.4, 28.5], [77.4, 28.525], [77.37, 28.525], [77.37, 28.5]]]}",
5.999999999999992,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.4, 28.5], [77.43, 28.5], [77.43, 28.525], [77.4, 28.525], [77.4, 28.5]]]}",
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.525], [76.83, 28.525], [76.83, 28.549999999999997], [76.8, 28.549999999999997], [76.8, 28.525]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.525], [76.86, 28.525], [76.86, 28.549999999999997], [76.83, 28.549999999999997], [76.83, 28.525]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.525], [76.89, 28.525], [76.89, 28.549999999999997], [76.86, 28.549999999999997], [76.86, 28.525]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.525], [76.92, 28.525], [76.92, 28.549999999999997], [76.89, 28.549999999999997], [76.89, 28.525]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.525], [76.95, 28.525], [76.95, 28.549999999999997], [76.92, 28.549999999999997], [76.92, 28.525]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.525], [76.98, 28.525], [76.98, 28.549999999999997], [76.95, 28.549999999999997], [76.95, 28.525]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.525], [77.01, 28.525], [77.01, 28.549999999999997], [76.98, 28.549999999999997], [76.98, 28.525]]]}",Crops
5.999999999999999,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.525], [77.04, 28.525], [77.04, 28.549999999999997], [77.01, 28.549999999999997], [77.01, 28.525]]]}",
5.999999999999988,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.525], [77.07000000000001, 28.525], [77.07000000000001, 28.549999999999997], [77.04, 28.549999999999997], [77.04, 28.525]]]}",
6.000000000000008,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.525], [77.10000000000001, 28.525], [77.10000000000001, 28.549999999999997], [77.07000000000001, 28.549999999999997], [77.07000000000001, 28.525]]]}",
6.000000000000008,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.525], [77.13, 28.525], [77.13, 28.549999999999997], [77.1, 28.549999999999997], [77.1, 28.525]]]}",
5.999999999999986,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.525], [77.16, 28.525], [77.16, 28.549999999999997], [77.13, 28.549999999999997], [77.13, 28.525]]]}",
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.525], [77.19, 28.525], [77.19, 28.549999999999997], [77.16, 28.549999999999997], [77.16, 28.525]]]}",Trees
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.525], [77.22, 28.525], [77.22, 28.549999999999997], [77.19, 28.549999999999997], [77.19, 28.525]]]}",Built area
5.9999999999999885,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.525], [77.25, 28.525], [77.25, 28.549999999999997], [77.22, 28.549999999999997], [77.22, 28.525]]]}",
5.999999999999984,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.525], [77.28, 28.525], [77.28, 28.549999999999997], [77.25, 28.549999999999997], [77.25, 28.525]]]}",
5.9999999999999885,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.525], [77.31, 28.525], [77.31, 28.549999999999997], [77.28, 28.549999999999997], [77.28, 28.525]]]}",
5.999999999999988,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.525], [77.34, 28.525], [77.34, 28.549999999999997], [77.31, 28.549999999999997], [77.31, 28.525]]]}",
